word,freq_rank,log_freq,concreteness,is_stimulus,pos
box,1022,-3.00987563371216,,False,noun
location,1025,-3.0111473607757975,,False,noun
town,1031,-3.0136796972911926,,False,noun
tuesday,1034,-3.0149403497929366,,False,noun
eye,1035,-3.0153597554092144,,False,noun
texas,1037,-3.016197353512439,,False,noun
board,1040,-3.017450729510536,,False,noun
wednesday,1041,-3.0178677189635055,,False,noun
term,1051,-3.02201573981772,,False,noun
club,1052,-3.0224283711854865,,False,noun
text,1057,-3.024485667699167,,False,noun
table,1060,-3.025715383901341,,False,noun
summer,1065,-3.0277572046905536,,False,noun
canada,1070,-3.029789470831856,,False,noun
loss,1071,-3.030194785356751,,False,noun
option,1081,-3.0342272607705505,,False,noun
india,1085,-3.035829825252828,,False,noun
standard,1086,-3.0362295440862948,,False,noun
opportunity,1089,-3.037426497940624,,False,noun
step,1091,-3.0382226383687185,,False,noun
role,1092,-3.038620161949703,,False,noun
parent,1098,-3.0409976924234905,,False,noun
collection,1100,-3.041787318971752,,False,noun
method,1103,-3.0429690733931802,,False,noun
piece,1104,-3.0433622780211294,,False,noun
practice,1107,-3.044539760392411,,False,noun
title,1108,-3.04493154614916,,False,noun
skin,1109,-3.0453229787866576,,False,noun
six,1111,-3.0461047872460387,,False,noun
policy,1114,-3.0472748673841794,,False,noun
door,1115,-3.04766419460156,,False,noun
mar,1116,-3.048053173115609,,False,noun
purchase,1117,-3.0484418035504044,,False,noun
wife,1119,-3.0492180226701815,,False,noun
dvd,1121,-3.0499928569201424,,False,noun
knowledge,1125,-3.0515383905153275,,False,noun
stock,1126,-3.0519239160461065,,False,noun
production,1127,-3.0523090996473234,,False,noun
war,1129,-3.0530784434834195,,False,noun
risk,1132,-3.0542299098633974,,False,noun
son,1134,-3.0549958615291417,,False,noun
track,1142,-3.0580462303952816,,False,noun
effect,1152,-3.061829307294699,,False,noun
moment,1158,-3.064083435963596,,False,noun
activity,1159,-3.0644579892269186,,False,noun
apr,1163,-3.06595298031387,,False,noun
land,1164,-3.0663259253620376,,False,noun
band,1170,-3.068556895072363,,False,noun
church,1171,-3.068927611682072,,False,noun
info,1174,-3.070037866607755,,False,noun
success,1176,-3.0707764628434346,,False,noun
screen,1180,-3.072249897613515,,False,noun
lake,1181,-3.0726174765452368,,False,noun
oct,1190,-3.0759117614827773,,False,noun
album,1191,-3.076276255404218,,False,noun
fire,1192,-3.076640443670342,,False,noun
language,1195,-3.077731179652392,,False,noun
dec,1196,-3.0780941504064105,,False,noun
potential,1197,-3.0784568180532927,,False,noun
device,1198,-3.0788191830988487,,False,noun
attention,1201,-3.079904467666721,,False,noun
equipment,1204,-3.080987046910887,,False,noun
florida,1206,-3.081707270097349,,False,noun
king,1208,-3.0824263008607717,,False,noun
mother,1210,-3.0831441431430524,,False,noun
ability,1211,-3.0835026198302673,,False,noun
variety,1218,-3.0860037056183818,,False,noun
nov,1228,-3.089551882886454,,False,noun
blood,1231,-3.090610707828407,,False,noun
response,1235,-3.092018470752797,,False,noun
focus,1238,-3.0930713063760633,,False,noun
resource,1246,-3.0958664534785427,,False,noun
weekend,1250,-3.09725730969342,,False,noun
wedding,1252,-3.09795107099415,,False,noun
growth,1254,-3.098643725817057,,False,noun
speed,1261,-3.1010593549081156,,False,noun
base,1262,-3.101403350555331,,False,noun
trip,1263,-3.1017470739463664,,False,noun
decision,1264,-3.1020905255118367,,False,noun
sun,1266,-3.1027766148834415,,False,noun
pain,1267,-3.1031192535457137,,False,noun
plus,1268,-3.103461622094705,,False,noun
environment,1271,-3.104487111312395,,False,noun
skill,1279,-3.1072099696478683,,False,noun
court,1284,-3.1089031276673134,,False,noun
condition,1285,-3.109240968588203,,False,noun
career,1286,-3.1095785469043866,,False,noun
character,1289,-3.110589710299249,,False,noun
voice,1290,-3.1109262422664203,,False,noun
solution,1294,-3.1122697684172707,,False,noun
mark,1297,-3.1132746924643504,,False,noun
aug,1298,-3.1136091510730277,,False,noun
association,1299,-3.113943352306837,,False,noun
police,1301,-3.114610984232173,,False,noun
round,1306,-3.116275587580544,,False,noun
difference,1309,-3.1172712956557644,,False,noun
patient,1310,-3.117602691690084,,False,noun
sign,1315,-3.1192558892779365,,False,noun
tool,1318,-3.1202447955463652,,False,noun
function,1324,-3.1222158782728267,,False,noun
situation,1325,-3.1225435240687545,,False,noun
sep,1326,-3.1228709228644354,,False,noun
stand,1333,-3.12515582958053,,False,noun
europe,1334,-3.125481265700594,,False,noun
george,1336,-3.1261314072619846,,False,noun
display,1338,-3.126780577012009,,False,noun
french,1340,-3.127428777851599,,False,noun
floor,1341,-3.1277525158329733,,False,noun
gift,1342,-3.1280760126687155,,False,noun
race,1343,-3.1283992687178066,,False,noun
star,1349,-3.130333768495006,,False,noun
camera,1351,-3.130976691605617,,False,noun
guide,1353,-3.1316186643491255,,False,noun
jesus,1357,-3.132899769944483,,False,noun
safety,1359,-3.1335389083702174,,False,noun
pas,1361,-3.1341771075767664,,False,noun
engine,1362,-3.1344958558346736,,False,noun
estate,1363,-3.13481437032046,,False,noun
goal,1364,-3.1351326513767748,,False,noun
sport,1368,-3.13640344813399,,False,noun
british,1372,-3.137670537236755,,False,noun
england,1373,-3.137986732723532,,False,noun
nature,1374,-3.1383026981662816,,False,noun
entry,1384,-3.1414497734004674,,False,noun
claim,1390,-3.143327129992046,,False,noun
relationship,1391,-3.1436392352745433,,False,noun
benefit,1392,-3.1439511164239633,,False,noun
machine,1398,-3.1458177144918276,,False,noun
approach,1399,-3.146128035678238,,False,noun
science,1400,-3.1464381352857744,,False,noun
robert,1401,-3.14674801363064,,False,noun
brand,1407,-3.1486026548060932,,False,noun
brown,1415,-3.15106325335375,,False,noun
unit,1422,-3.153204900084284,,False,noun
bar,1437,-3.1577588860468637,,False,noun
father,1440,-3.1586639808139894,,False,noun
forum,1441,-3.15896526038341,,False,noun
sort,1451,-3.161966616364075,,False,noun
client,1455,-3.1631613749770184,,False,noun
australia,1457,-3.163757523981956,,False,noun
chicago,1463,-3.165541076722373,,False,noun
memory,1464,-3.1658376246901283,,False,noun
bill,1465,-3.166133970305109,,False,noun
advice,1467,-3.166726055580052,,False,noun
trade,1478,-3.1699681739968923,,False,noun
multiple,1480,-3.1705550585212086,,False,noun
pressure,1488,-3.1728946977521764,,False,noun
fight,1491,-3.17376882313665,,False,noun
analysis,1497,-3.1755118133634475,,False,noun
gas,1498,-3.1758016328482794,,False,noun
organization,1503,-3.1772478362556233,,False,noun
council,1505,-3.177824971864682,,False,noun
european,1507,-3.178401341533755,,False,noun
gold,1514,-3.180412632838324,,False,noun
description,1516,-3.1809855807867304,,False,noun
stage,1518,-3.1815577738627865,,False,noun
author,1520,-3.182129214052998,,False,noun
channel,1524,-3.1832698436828046,,False,noun
category,1525,-3.1835545336188615,,False,noun
twitter,1526,-3.1838390370564214,,False,noun
valley,1528,-3.1844074854123203,,False,noun
ball,1537,-3.1869563354654122,,False,noun
bay,1543,-3.188647295999717,,False,noun
bottom,1544,-3.1889284837608534,,False,noun
server,1545,-3.189209489582306,,False,noun
copy,1546,-3.1894903136993675,,False,noun
rule,1547,-3.189770956346874,,False,noun
smith,1552,-3.1911714557285586,,False,noun
force,1556,-3.1922886125681202,,False,noun
cell,1570,-3.1961761850399735,,False,noun
mike,1571,-3.196452541703389,,False,noun
region,1578,-3.1983821300082944,,False,noun
wall,1587,-3.2008504980910772,,False,noun
cash,1591,-3.20194306340165,,False,noun
lord,1600,-3.2043913319193,,False,noun
evidence,1602,-3.204933522354145,,False,noun
surface,1603,-3.2052043639481447,,False,noun
vehicle,1608,-3.2065560440990297,,False,noun
effort,1609,-3.2068258760318495,,False,noun
heat,1611,-3.2073650374690716,,False,noun
impact,1618,-3.2092468487533736,,False,noun
construction,1622,-3.210318519826232,,False,noun
mary,1625,-3.2111205412580492,,False,noun
finish,1629,-3.2121876044039577,,False,noun
selection,1631,-3.2127201544178425,,False,noun
daughter,1633,-3.2132520521963968,,False,noun
rock,1635,-3.2137832993353044,,False,noun
thomas,1636,-3.2140486794119414,,False,noun
figure,1639,-3.214843848047698,,False,noun
husband,1641,-3.215373152783422,,False,noun
degree,1642,-3.215637563435062,,False,noun
boy,1643,-3.215901813204032,,False,noun
cancer,1644,-3.216165902285993,,False,noun
purpose,1653,-3.218535505216528,,False,noun
requirement,1659,-3.220108088040055,,False,noun
copyright,1660,-3.2203696324513946,,False,noun
peter,1661,-3.220631019448092,,False,noun
vote,1662,-3.2208922492195193,,False,noun
loan,1664,-3.2214142378423385,,False,noun
chinese,1670,-3.2229764498933915,,False,noun
disease,1673,-3.2237554536572413,,False,noun
glass,1678,-3.225050696138049,,False,noun
basis,1685,-3.2268575702887237,,False,noun
indian,1686,-3.2271150825891253,,False,noun
connection,1700,-3.230704313612569,,False,noun
profile,1705,-3.231979026831504,,False,noun
budget,1709,-3.2329961103921536,,False,noun
campaign,1712,-3.2337573629655103,,False,noun
district,1715,-3.2345172835126865,,False,noun
culture,1719,-3.2355284469075487,,False,noun
opinion,1722,-3.2362852774480286,,False,noun
director,1724,-3.2367890994092927,,False,noun
traffic,1725,-3.237040791379191,,False,noun
pool,1728,-3.2377949932739227,,False,noun
opening,1729,-3.2380461031287955,,False,noun
print,1730,-3.238297067875394,,False,noun
owner,1731,-3.2385478876813276,,False,noun
statement,1732,-3.238798562713917,,False,noun
delivery,1737,-3.2400497721126476,,False,noun
hall,1738,-3.2402995820027125,,False,noun
tour,1741,-3.241048150671644,,False,noun
button,1742,-3.2412973871099933,,False,noun
overall,1743,-3.2415464805965484,,False,noun
income,1744,-3.241795431295199,,False,noun
radio,1747,-3.2425414282983844,,False,noun
truth,1748,-3.2427898094786767,,False,noun
kitchen,1752,-3.243781916093795,,False,noun
economy,1758,-3.245265839457461,,False,noun
conference,1760,-3.245759355967277,,False,noun
storage,1764,-3.2467447097238415,,False,noun
respect,1765,-3.24699069924155,,False,noun
holiday,1766,-3.247236549506764,,False,noun
damage,1775,-3.249442961442582,,False,noun
pro,1785,-3.2518814545525276,,False,noun
employee,1786,-3.252124552505644,,False,noun
notice,1787,-3.2523675144598987,,False,noun
france,1790,-3.2530955858490316,,False,noun
letter,1792,-3.253580289562183,,False,noun
tom,1797,-3.25478968739721,,False,noun
discussion,1807,-3.2571984261393445,,False,noun
background,1808,-3.257438566859814,,False,noun
scene,1812,-3.258397804095509,,False,noun
topic,1814,-3.258876629372131,,False,noun
journal,1815,-3.2591158441850663,,False,noun
wonder,1817,-3.2595938788859486,,False,noun
mine,1819,-3.2600713879850747,,False,noun
sleep,1820,-3.26030994579492,,False,noun
package,1829,-3.2624510897304293,,False,noun
library,1831,-3.2629254693318317,,False,noun
investment,1832,-3.2631624649622166,,False,noun
virginia,1833,-3.263399331334002,,False,noun
annual,1838,-3.2645817292380777,,False,noun
manager,1839,-3.2648178230095364,,False,noun
debt,1840,-3.2650537885040145,,False,noun
status,1843,-3.2657609167176105,,False,noun
attack,1844,-3.265996370495079,,False,noun
protection,1846,-3.2664668954402414,,False,noun
bag,1847,-3.2667019668840878,,False,noun
reference,1848,-3.266936911159173,,False,noun
battery,1851,-3.2676409823459154,,False,noun
christ,1860,-3.269746373130767,,False,noun
lack,1862,-3.2702128548962426,,False,noun
