bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
24,1.4,0.0854464638886099,0.014945609676821856,12,vision,0.013112476835936268,8.474201118121423e-07,1.6948402236242846e-05,True
25,1.5,0.0734204114808492,0.01317381655560824,12,vision,0.007063350844097277,0.023652774611433027,0.047305549222866054,True
26,1.6,0.06448077297869095,0.011964402484534294,12,vision,0.006154723053015974,0.0452633302042207,0.07242132832675312,False
27,1.7,0.05572191552704542,0.009898926968032745,12,vision,0.0034729916746078886,0.16370812159258474,0.20463515199073093,False
28,1.8,0.04587228298965303,0.010199066100328294,12,vision,0.006147659163822482,0.05207180616039016,0.07827853385250576,False
29,1.9,0.04153255934025691,0.009026014582603529,12,vision,0.004716192940782912,0.14759880390691954,0.19045006955731553,False
30,2.0,0.040610957219020666,0.008305413810371065,12,vision,-0.00023029629047485156,0.5259473092999687,0.553628746631546,False
31,2.1,0.037638124298169255,0.007539370733211018,12,vision,0.0016324033059255984,0.3521358373636452,0.40244095698702304,False
32,2.2,0.03802160168342831,0.007536458186382568,12,vision,0.0004390887517643702,0.45275413046381535,0.4894639248257463,False
33,2.3,0.034192642213009904,0.007463830562017023,12,vision,0.0006021113290106671,0.4449239186536049,0.4894639248257463,False
34,2.4,0.028265341165631782,0.006720139759196642,12,vision,0.0028873076415889,0.20789717868527396,0.24458491610032232,False
35,2.5,0.024506595965288425,0.007150181354425201,12,vision,0.004432326210013083,0.11383124103168252,0.15177498804224335,False
36,2.6,0.02098488092764231,0.007091766301009417,12,vision,0.0054760426334145755,0.03431462177291225,0.057191036288187086,False
37,2.7,0.020302191978659758,0.006316870589816921,12,vision,0.005032389551474686,0.0308368421649217,0.05606698575440309,False
38,2.8,0.018985946221127665,0.006405908099583483,12,vision,0.0077576340024013805,0.003025472549868799,0.011001718363159267,True
39,2.9,0.016884419345064447,0.005734760301924371,12,vision,0.004551831568080939,0.03044696791562112,0.05606698575440309,False
40,3.0,0.014938106259528688,0.005124463076491546,12,vision,0.007170159674248635,0.0035276999244464474,0.011758999748154825,True
41,3.1,0.014045795817617208,0.005465737617867813,12,vision,0.009443612134840034,0.00031317044931144947,0.002451808724026804,True
42,3.2,0.015976171193571285,0.0055605061940942006,12,vision,0.007898646537521476,3.374743135725363e-05,0.00044996575143004837,True
43,3.3,0.01830988590372139,0.004969274642021137,12,vision,0.005157849086861389,0.010103373271001585,0.028521152329055017,True
44,3.4,0.01898572651362176,0.0048245395273071,12,vision,0.005757205908269294,0.013820774962963028,0.03071283325102895,True
45,3.5,0.01760968031928958,0.005432514505268901,12,vision,0.007302204721872103,0.0006455697828291754,0.0036889701875952884,True
46,3.6,0.017163834547131978,0.005413541990022334,12,vision,0.0057504771140992035,0.018965201039915343,0.039926739031400725,True
47,3.7,0.017006646257078237,0.00449806691893809,12,vision,0.003309477332779294,0.07707476542556531,0.10631002127664181,False
48,3.8,0.014316522701853976,0.004548442823676002,12,vision,0.005215642416989632,3.146731291378038e-08,1.2586925165512152e-06,True
49,3.9,0.013438108972983717,0.0043541623896118506,12,vision,0.005936331886308997,0.010974197314663571,0.028521152329055017,True
