bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
24,1.9,0.008230353573391745,0.0030060260131090414,14,vision,0.008075440159471222,4.117458713393673e-06,8.422074641032514e-06,True
25,2.0,0.006886843737638807,0.003095052500245046,14,vision,0.006440764811586516,1.4767719523101414e-06,3.3227368926978183e-06,True
26,2.1,0.0067775194489147995,0.002765459562281175,14,vision,0.005797485502040098,0.0005592922306806197,0.0009680057838703034,True
27,2.2,0.007134897975961417,0.002732302640533937,14,vision,0.006495166659947488,2.454602296868133e-06,5.2598620647174274e-06,True
28,2.3,0.006814830473611107,0.002235172698758145,14,vision,0.006428139970800999,1.8594548178924646e-08,5.976819057511493e-08,True
29,2.4,0.007462582042792857,0.0024059759325780364,14,vision,0.006376605494334324,2.0255155339820374e-10,1.0127577669910186e-09,True
30,2.5,0.007085935869627126,0.0021837272868634127,14,vision,0.007912425508591064,8.841624344781198e-08,2.4867068469697117e-07,True
31,2.6,0.0064469092639126615,0.002193102836948098,14,vision,0.008974776649344225,2.4717630231676294e-09,9.269111336878611e-09,True
32,2.7,0.007188432572560769,0.0020750094371987577,14,vision,0.008097252105397698,1.4467965533771972e-09,5.918713172906716e-09,True
33,2.8,0.0070056698907790685,0.0023823591947713177,14,vision,0.007390748087143113,6.5597202677727065e-09,2.2706724003828603e-08,True
34,2.9,0.007343356089191338,0.0023580086497462073,14,vision,0.0067589509134536666,2.3970319976657733e-10,1.0786643989495981e-09,True
35,3.0,0.0060953632855134205,0.002235957458220226,14,vision,0.005662450716240464,4.30380483066704e-07,1.0193221967369305e-06,True
36,3.1,0.005421184113397701,0.0021341607039000706,14,vision,0.0034690863852290576,0.0003991194528007777,0.0007184150150413998,True
37,3.2,0.004361188796800779,0.0021383716536075223,14,vision,0.00372659455356291,0.0018511815209694077,0.003085302534949013,True
38,3.3,0.004034605085336027,0.0022989173571543327,14,vision,0.003331050491189503,0.004039166057176657,0.006058749085764986,True
39,3.4,0.003803897229029484,0.002712580477335344,14,vision,0.002416729708222259,0.019395020746410387,0.02424377593301298,True
40,3.5,0.0031108869514043787,0.003149723692303981,14,vision,0.003203414148081174,0.0001509340820850589,0.00028300140390948546,True
41,3.6,0.0016747726210572425,0.002907706929337604,14,vision,0.004206959574054995,4.949370801780379e-05,9.683551568700742e-05,True
42,3.7,0.0023101288160641787,0.003015900314134762,14,vision,0.0024003969257269313,0.03678299238432765,0.04473607181877687,True
43,3.8,0.0026198380587969757,0.0026841866172816024,14,vision,0.0032683912059635147,0.008927191764719766,0.011477817983211127,True
44,3.9,0.0032103001557549286,0.002653007144515922,14,vision,0.002518805115934853,0.0641160213392652,0.07592686737544563,False
45,4.0,0.002329039361366885,0.002669135197112147,14,vision,0.0027173053266830193,0.006520745215047185,0.008891925293246162,True
46,4.1,0.0012241348146609854,0.0026566359195729014,13,vision,0.003996727782275771,0.00220858954629728,0.003549518913692057,True
47,4.2,0.0012823895821312582,0.0031897144748041922,13,vision,0.0046090817914350955,0.0036795856210159144,0.0057097018257143495,True
48,4.3,0.0009667682857716417,0.0028258008492202074,13,vision,0.0040272925843842875,0.005686359327917728,0.007996442804884304,True
49,4.4,0.0006584858988084926,0.002427276231835453,13,vision,0.0039402436416336225,0.008060674206753486,0.010668539391291379,True
