embedding,bin_index,time_s,mean,sem,count,family
MoCo,22,1.7,0.041534288077678436,0.010313571524071405,14,vision
MoCo,23,1.8,0.035345133978740624,0.009285180126691718,14,vision
MoCo,24,1.9,0.031094768060120657,0.009115248133600278,14,vision
MoCo,25,2.0,0.028583119148586227,0.008996824022068303,14,vision
MoCo,26,2.1,0.028198805565364086,0.009004362539015556,14,vision
MoCo,27,2.2,0.025913095713630336,0.00892289285549023,14,vision
MoCo,28,2.3,0.024821675486847914,0.008797714437933589,14,vision
MoCo,29,2.4,0.024648290597032243,0.008528711468773055,14,vision
MoCo,30,2.5,0.022264233111134395,0.0075810228435000656,14,vision
MoCo,31,2.6,0.020013672961130203,0.007111950905335307,14,vision
MoCo,32,2.7,0.021998049975924472,0.006609712070681122,14,vision
MoCo,33,2.8,0.02102208606306475,0.0065490523644450545,14,vision
MoCo,34,2.9,0.023000010861870035,0.006818844237559753,14,vision
MoCo,35,3.0,0.019953329816583088,0.006328184174936129,14,vision
MoCo,36,3.1,0.018707143827722175,0.00582464255812957,14,vision
MoCo,37,3.2,0.01639507597828973,0.005462216317621282,14,vision
MoCo,38,3.3,0.017946849956018137,0.0059662401699464625,14,vision
MoCo,39,3.4,0.018567771844288837,0.00645238603049804,14,vision
MoCo,40,3.5,0.018857402858458567,0.006651229764022928,14,vision
MoCo,41,3.6,0.01744987166264662,0.0058575574241328315,14,vision
MoCo,42,3.7,0.01865812208723693,0.006470682897326335,14,vision
MoCo,43,3.8,0.022364509221133665,0.005850196852467483,14,vision
MoCo,44,3.9,0.02394287939364257,0.004858938955024011,14,vision
MoCo,45,4.0,0.01884748518140835,0.004156963758976009,14,vision
MoCo,46,4.1,0.016613535611354417,0.003239187910415973,13,vision
MoCo,47,4.2,0.018116272978871726,0.0029280083685974826,13,vision
MoCo,48,4.3,0.015746966781517414,0.0025741027957110053,13,vision
MoCo,49,4.4,0.012160879517826932,0.0026717555664314743,13,vision
Word2Vec,0,-0.5,0.004470620538154743,0.0020948712327081512,14,language
Word2Vec,1,-0.4,0.004412375744059814,0.002915518363761816,14,language
Word2Vec,2,-0.3,0.00707889815471045,0.0031643683930105133,14,language
Word2Vec,3,-0.2,0.007154777531596422,0.0029464545928911934,14,language
Word2Vec,4,-0.1,0.006801022634100785,0.0026851840457048294,14,language
Word2Vec,5,0.0,0.003974279494942686,0.002169773886650841,14,language
Word2Vec,6,0.1,0.004952432890397893,0.0022442913981086353,14,language
Word2Vec,7,0.2,0.0026618399436836213,0.0022253090744338987,14,language
Word2Vec,8,0.3,0.005011913657174236,0.0023978158839068784,14,language
Word2Vec,9,0.4,0.0052948782361032076,0.002624173294437578,14,language
Word2Vec,10,0.5,0.006560495351976386,0.0024670091134616325,14,language
Word2Vec,11,0.6,0.0037133702068717924,0.0026855236382534206,14,language
Word2Vec,12,0.7,0.028936281625161594,0.00597392137996209,14,language
Word2Vec,13,0.8,0.05786466471239482,0.008342233096934644,14,language
